term,definitions,hierarchy_paths,sources
disaster management,[],[],['AGU Index Terms']
disaster mitigation,[],[],['AGU Index Terms']
disaster policy,[],[],['AGU Index Terms']
disaster preparedness,"['The aggregate of measures to be taken in view of disasters, consisting of plans and action programmes designed to minimize loss of life and damage, to organize and facilitate effective rescue and relief, and to rehabilitate after disaster. Preparedness requires the necessary legislation and means to cope with disaster or similar emergency situations. It is also concerned with forecasting and warning, the education and training of the public, organization and management, including plans, training of personnel, the stockpiling of supplies and ensuring the needed funds and other resources.']",['safety -> risk assessment -> disaster preparedness'],['GEMET']
disaster prevention,['The aggregate of approaches and measures to ensure that human action or natural phenomena do not cause or result in disaster or similar emergency. It implies the formulation and implementation of long-range policies and programmes to eliminate or prevent the occurrence of disasters.'],['safety -> safety measure -> prevention measure -> disaster prevention'],['GEMET']
disaster recovery/relief,"['The act of restoring a community or ecosystem to its original pre-hazard state.Relief refers to assistance that eases the financial, physical, or emotionalburden brought about by exposure of property or person to natural hazards ordisasters.']",['EARTH SCIENCE SERVICES -> HAZARDS MANAGEMENT -> DISASTER RECOVERY/RELIEF'],['GCMD']
disaster relief,"['Money, food or other assistance provided for those surviving a sudden, calamitous event causing loss of life, damage or hardship.']",['safety -> safety measure -> disaster relief'],"['AGU Index Terms', 'GEMET']"
disaster resilience,[],[],['AGU Index Terms']
disaster response,"['A phase of the disaster management cycle that involves the mobilization of the necessary emergency services and first responders in the disaster area. This is likely to include a first wave of core emergency services, such as firefighters, police and ambulance crews.', 'The reaction to an incident or emergency in order to assess the level ofcontainment and control activity required.']","['EARTH SCIENCE -> HUMAN DIMENSIONS -> SOCIAL BEHAVIOR -> DISASTER RESPONSE', 'EARTH SCIENCE SERVICES -> HAZARDS MANAGEMENT -> DISASTER RESPONSE']",['GCMD']
disaster risk,['convergence of hazards with the vulnerability of those exposed to them'],['disaster -> disaster risk'],['GEMET']
disaster risk analysis and assessment,[],[],['AGU Index Terms']
disaster risk communication,[],[],['AGU Index Terms']
disaster zone,['Zone that has been stricken by a disaster and where measures must be taken to reduce the severity of the human and material damage caused by it.'],['land -> disaster zone'],['GEMET']
"disasters, accidents, risk",[],"['disasters, accidents, risk']",['GEMET']
discarded medicinal drug,[],['waste -> type of waste -> health-care activities waste -> pharmaceutical waste -> discarded medicinal drug'],['GEMET']
discharge,"['The volume of water flow, including any suspended solids which is transported through a given cross-sectional area.']",['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISCHARGE'],['GCMD']
discharge amount,"['The volume of water flow, including any suspended solids which is transported through a given cross-sectional area.']",['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISCHARGE -> DISCHARGE AMOUNT'],['GCMD']
discharge legislation,[],['law (corpus of rules) -> waste legislation -> discharge legislation'],['GEMET']
discharge rate,"['The rate of water flow, including any suspended solids which is transported through a given cross-sectional area.']",['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISCHARGE -> DISCHARGE RATE'],['GCMD']
discharge regime,"['The rate of flow of a river at a particular moment in time, related to its volume and its velocity.']",['hydrosphere -> hydrologic cycle -> hydrologic balance -> discharge regime'],['GEMET']
discharge/flow,"['In hydrology, discharge is the volume rate of water flow that is transported through a given cross-sectional area.(Buchanan, T.J. and Somers, W.P., 1969, Discharge Measurements at Gaging Stations: U.S. Geological Survey Techniques of Water-Resources Investigations, Book 3, Chapter A8, p. 1.) It includes any suspended solids (e.g. sediment), dissolved chemicals (e.g. CaCO3(aq)), or biologic material (e.g. diatoms) in addition to the water itself.']",['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> DISCHARGE/FLOW'],['GCMD']
discontinuities,[],[],['AGU Index Terms']
discrete aurora,"['Discrete auroral particles are accelerated by two distinct physical mechanisms: quasi-static electric fields, producing monoenergetic peaks, and dispersive Alfven waves, producing broadband electron acceleration. Discrete aurora are responsible for the rays and curtains usually associated with visible active aurora.']",['discrete aurora'],['NASA CCMC']
disease,['A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual.'],['disease'],['GEMET']
disease cause,[],['health-environment relationship -> disease cause'],['GEMET']
disease/epidemic,"['A report pertaining information on the presence and rapid/extensive spread of a pathological condition of a part, organ, or system of an organism resulting from various causes, such as infection, genetic defect, or environmental stress, which is characterized by an identifiable group of signs or symptoms.']",['EARTH SCIENCE SERVICES -> ENVIRONMENTAL ADVISORIES -> HEALTH ADVISORIES -> DISEASE/EPIDEMIC'],['GCMD']
diseases/epidemics,"['Diseases are used here to relate to human diseases which may be linked to poor environmental quality, such as poor air quality, or may ensue due to change in climate.']",['EARTH SCIENCE -> HUMAN DIMENSIONS -> PUBLIC HEALTH -> DISEASES/EPIDEMICS'],['GCMD']
disinfectant,"['An agent, such as heat, radiation, or a chemical, that disinfects by destroying, neutralizing, or inhibiting the growth of disease-carrying microorganisms.']",['product -> chemical product -> disinfectant'],['GEMET']
disinfectants,['Refers to chemical liquids that destroy bacteria.'],['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> WATER QUALITY/WATER CHEMISTRY -> CONTAMINANTS -> DISINFECTANTS'],['GCMD']
disinfection,"['The complex of physical, chemical or mechanical operations undertaken to destroy pathogenic germs.']",['health -> public health -> disinfection'],['GEMET']
disinvestment,"['movement to disinvest from coal, oil and gas companies, with the intention of combating climate change by reducing the amount of greenhouse gases released into the atmosphere, and holding the oil, gas and coal companies responsible for their role in climate change']",['finances -> disinvestment'],['GEMET']
disk,['The visible surface of the Sun or other heavenly body projected against the sky.'],['disk'],['Space Weather Glossary']
dispatch note,[],['administration -> administrative procedure -> permission -> dispatch note'],['GEMET']
dispersion,"['A distribution of finely divided particles in a medium.', 'Pertaining to the rate that substances spread through an aquifer.']","['physicochemical process -> dispersion', 'EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISPERSION']","['GEMET', 'GCMD']"
dispersion calculation,['The calculation of pollutant dispersion is based on the use of air dispersion models that mathematically simulate atmospheric conditions and behaviour. Dispersion models can provide concentration or deposition estimates and can be used to evaluate both existing and hypothetical emissions scenarios.'],['evaluation -> dispersion calculation'],['GEMET']
dispersion frequency,['The number of clay particles that separate from one other in moist oil in a single period.'],['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISPERSION -> DISPERSION FREQUENCY'],['GCMD']
dispersion rate,['The rate at which clay particles separate from one other in moist soil.'],['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISPERSION -> DISPERSION RATE'],['GCMD']
displaced person,"['Persons who, for different reasons or circumstances, have been compelled to leave their homes.']",['society -> social differentiation -> social group -> displaced person'],['GEMET']
